0	0.22
1	0.02
2	0.36
3	0.08
4	1.36
5	1.4
6	0.21
7	0.91
8	1.39
9	1.11
10	1.22
11	0.2
12	0.96
13	0.2
14	0.59
15	0.12
16	0.47
17	0.62
18	1.04
19	0.88
20	1.25
21	0.14
22	0.16
23	1.02
24	1.43
25	1.22
26	1.31
27	0.84
28	1.38
29	0.95
30	0.87
31	0.21
32	0.42
33	0.59
34	0.38
35	1.1
36	0.75
37	0.89
38	0.29
39	1.08
40	1.4
41	0.3
42	1.43
43	1.02
44	0.11
45	1.18
46	1.37
47	0.53
48	0.86
49	0.21
50	0.53
51	0.4
52	0.47
53	0.7
54	0.73
55	0.44
56	0.25
57	0.3
58	0.1
59	0.98
60	0.4
61	0.21
62	0.93
63	0.08
64	0.52
65	0.35
66	0.45
67	0.89
68	0.3
69	0.92
70	0.38
71	0.99
72	0.5
73	0.11
74	0.36
75	1.12
76	1.43
77	1.4
78	1.12
79	1.39
80	0.26
81	0.52
82	0.97
83	0.95
84	1.26
85	1.11
86	0.2
87	0.55
88	0.23
89	0.5
90	0.53
91	0.13
92	0.43
93	0.98
94	0.13
95	0.66
96	0.03
97	0.53
98	0.7
99	1.42
100	1.23
101	0.76
102	0.54
103	1.42
104	0.4
105	1.02
106	0.45
107	0.2
108	0.88
109	1.39
110	1.43
111	1.33
112	0.35
113	0.87
114	0.82
115	0.47
116	0.8
117	0.09
118	0.78
119	0.25
120	0.12
121	0.76
122	1.37
123	1.25
124	0.23
125	0.76
126	0.35
127	1.01
128	0.75
129	0.05
130	0.43
131	1.25
132	1.03
133	0.72
134	0.38
135	0.91
136	0.31
137	0.67
138	1.17
139	0.76
140	0.69
141	1.04
142	0.54
143	0.36
144	0.77
145	1.1
146	0.49
147	1.3
148	0.05
149	0.56
150	1.15
151	1.28
152	0.15
153	1.2
154	0.93
155	0.41
156	1.07
157	0.68
158	0.17
159	0.03
160	0.32
161	0.58
162	0.28
163	0.0
164	0.42
165	0.38
166	0.62
167	0.91
168	0.71
169	0.99
170	1.27
171	0.32
172	0.83
173	1.15
174	0.65
175	0.74
176	0.6
177	0.32
178	0.97
179	1.06
180	0.28
181	0.93
182	0.85
183	0.65
184	0.17
185	0.85
186	0.99
187	0.11
188	0.15
189	1.34
190	0.7
191	1.0
192	0.27
193	1.11
194	0.92
195	0.09
196	0.1
197	1.36
198	0.76
199	0.46
200	0.12
201	0.31
202	0.91
203	1.03
204	0.17
205	1.14
206	0.63
207	0.1
208	0.21
209	0.6
210	0.66
211	0.73
212	0.51
213	1.24
214	0.43
215	1.06
216	0.39
217	0.28
218	1.31
219	1.28
220	1.09
221	0.26
222	0.17
223	0.63
224	0.34
225	1.16
226	0.03
227	0.44
228	0.41
229	1.4
230	1.34
231	0.12
232	0.92
233	0.53
234	0.16
235	0.32
236	0.08
237	0.08
238	1.25
239	0.92
240	0.78
241	0.93
242	1.31
243	0.08
244	0.62
245	0.15
246	0.91
247	0.36
248	0.01
249	0.76
250	1.07
251	0.89
252	0.56
253	0.64
254	0.35
255	1.23
256	1.37
257	0.06
258	1.3
259	0.73
260	0.03
261	0.03
262	0.48
263	1.13
264	0.23
265	0.07
266	0.58
267	0.06
268	0.95
269	1.28
270	0.53
271	0.53
272	0.1
273	0.02
274	1.25
275	1.21
276	0.32
277	1.07
278	0.51
279	0.6
280	0.37
281	1.16
282	1.43
283	0.32
284	0.82
285	0.67
286	0.6
287	0.79
288	0.39
289	0.54
290	0.75
291	0.66
292	0.37
293	1.32
294	0.59
295	1.27
296	0.9
297	0.18
298	0.69
299	0.15
300	0.28
301	0.65
302	0.89
303	1.12
304	0.24
305	1.31
306	0.93
307	0.76
308	0.61
309	0.91
310	0.89
311	0.71
312	0.86
313	0.76
314	0.68
315	0.11
316	0.98
317	0.58
318	0.67
319	0.59
320	1.19
321	1.11
322	0.59
323	1.28
324	0.53
325	0.34
326	0.63
327	1.18
328	0.83
329	0.78
330	0.28
331	0.65
332	0.02
333	0.58
334	1.19
335	1.13
336	0.12
337	0.2
338	0.6
339	0.24
340	0.62
341	0.88
342	0.28
343	1.04
344	1.23
345	0.86
346	0.55
347	0.86
348	1.12
349	0.57
350	0.88
351	0.53
352	0.52
353	0.47
354	0.82
355	0.45
356	1.28
357	0.25
358	1.33
359	0.99
360	0.64
361	1.25
362	0.32
363	0.18
364	1.23
365	1.4
366	1.13
367	0.2
368	0.76
369	1.31
370	0.43
371	0.43
372	0.77
373	0.81
374	1.17
375	0.01
